Company,N_Stacks,N_Followers,N_Votes,N_Companies,N_Developers,N_Integrations,Negative,Neutral,Positive,Compound,Z_N_Stacks,Z_N_Followers,Z_N_Votes,Z_N_Companies,Z_N_Developers,Z_N_Integrations,Z_Negative,Z_Neutral,Z_Positive,Z_Compound,SOCIAL_SCORE,BUSINESS_ADOPTION,SENTIMENT_SCORE,SCORE
Mercado-Pago,4.0,4.0,0.0,,,8.0,,,,,-0.15147483919898871,-0.16124024889829544,-0.1481215054253941,0.0,0.0,-0.23325470925567107,0.0,0.0,0.0,0.0,-0.15471033632399248,-0.07775156975189036,0.0,-0.05438645866733384
LawPay,2.0,5.0,0.0,,,8.0,,,,,-0.15260512317513275,-0.16035599711251447,-0.1481215054253941,0.0,0.0,-0.23325470925567107,0.0,0.0,0.0,0.0,-0.15480874920013774,-0.07775156975189036,0.0,-0.0543913793111411
BluePay,2.0,5.0,0.0,,,8.0,,,,,-0.15260512317513275,-0.16035599711251447,-0.1481215054253941,0.0,0.0,-0.23325470925567107,0.0,0.0,0.0,0.0,-0.15480874920013774,-0.07775156975189036,0.0,-0.0543913793111411
PAYMILL,2.0,5.0,0.0,,,8.0,,,,,-0.15260512317513275,-0.16035599711251447,-0.1481215054253941,0.0,0.0,-0.23325470925567107,0.0,0.0,0.0,0.0,-0.15480874920013774,-0.07775156975189036,0.0,-0.0543913793111411
SlimPay,3.0,4.0,0.0,,,8.0,,,,,-0.15203998118706072,-0.16124024889829544,-0.1481215054253941,0.0,0.0,-0.23325470925567107,0.0,0.0,0.0,0.0,-0.15493639311922128,-0.07775156975189036,0.0,-0.05439776150709528
Vindi,3.0,3.0,0.0,,,8.0,,,,,-0.15203998118706072,-0.16212450068407638,-0.1481215054253941,0.0,0.0,-0.23325470925567107,0.0,0.0,0.0,0.0,-0.15529009383353368,-0.07775156975189036,0.0,-0.0544154465428109
dwollajs,4.0,17.0,0.0,3.0,,,,,,,-0.15147483919898871,-0.14974497568314302,-0.1481215054253941,-0.2507576983622692,0.0,0.0,0.0,0.0,0.0,0.0,-0.1501122270379315,-0.08358589945408973,0.0,-0.057657151024350414
Pin-Payments,6.0,10.0,0.0,3.0,,13.0,,,,,-0.15034455522284465,-0.1559347381836097,-0.1481215054253941,-0.2507576983622692,0.0,-0.003344153537715695,0.0,0.0,0.0,0.0,-0.15213601844766056,-0.08470061729999497,0.0,-0.05842717130238
Trustly,2.0,8.0,0.0,,,7.0,,,,,-0.15260512317513275,-0.1577032417551716,-0.1481215054253941,0.0,0.0,-0.2792368203992621,0.0,0.0,0.0,0.0,-0.15374764705720056,-0.09307894013308737,0.0,-0.06353474643271245
Xoom,3.0,7.0,0.0,,,7.0,,,,,-0.15203998118706072,-0.15858749354095256,-0.1481215054253941,0.0,0.0,-0.2792368203992621,0.0,0.0,0.0,0.0,-0.15387529097628413,-0.09307894013308737,0.0,-0.06354112862866662
ZooZ,2.0,5.0,0.0,,,7.0,,,,,-0.15260512317513275,-0.16035599711251447,-0.1481215054253941,0.0,0.0,-0.2792368203992621,0.0,0.0,0.0,0.0,-0.15480874920013774,-0.09307894013308737,0.0,-0.06358780153985931
PaySimple,1.0,2.0,0.0,,,7.0,,,,,-0.15317026516320478,-0.16300875246985733,-0.1481215054253941,0.0,0.0,-0.2792368203992621,0.0,0.0,0.0,0.0,-0.15609590813830368,-0.09307894013308737,0.0,-0.0636521594867676
PagSeguro,12.0,14.0,0.0,,,6.0,,,,,-0.14695370329441249,-0.15239773104048587,-0.1481215054253941,0.0,0.0,-0.3252189315428532,0.0,0.0,0.0,0.0,-0.14936487481903818,-0.1084063105142844,0.0,-0.07251203004952254
CoinPayments,8.0,14.0,0.0,,,6.0,,,,,-0.14921427124670059,-0.15239773104048587,-0.1481215054253941,0.0,0.0,-0.3252189315428532,0.0,0.0,0.0,0.0,-0.15026910199995341,-0.1084063105142844,0.0,-0.0725572414085683
TrapFi,0.0,3.0,0.0,,,6.0,,,,,-0.15373540715127681,-0.16212450068407638,-0.1481215054253941,0.0,0.0,-0.3252189315428532,0.0,0.0,0.0,0.0,-0.1559682642192201,-0.1084063105142844,0.0,-0.07284219951953164
Qonversion,6.0,20.0,12.0,,5.0,10.0,,,,,-0.15034455522284465,-0.14709222032580016,-0.07418276383742967,0.0,-0.218751184671891,-0.14129048696848892,0.0,0.0,0.0,0.0,-0.13381126298694387,-0.1200138905467933,0.0,-0.07869889747742317
Qonversion,6.0,20.0,12.0,,5.0,10.0,,,,,-0.15034455522284465,-0.14709222032580016,-0.07418276383742967,0.0,-0.218751184671891,-0.14129048696848892,0.0,0.0,0.0,0.0,-0.13381126298694387,-0.1200138905467933,0.0,-0.07869889747742317
Coinbase,125.0,147.0,9.0,9.0,116.0,,,,,,-0.08309265864227336,-0.03479224353161894,-0.09266744923442077,-0.2423051916759006,-0.16239996353653374,0.0,0.0,0.0,0.0,0.0,-0.06568745071644108,-0.13490171840414478,0.0,-0.0842254035783089
Laravel-Spark,74.0,124.0,0.0,10.0,64.0,,,,,,-0.11191490003394677,-0.055130034604580894,-0.1481215054253941,-0.2408964405615058,-0.18879873379814255,0.0,0.0,0.0,0.0,0.0,-0.0964422749404899,-0.14323172478654944,0.0,-0.09076114861895417
Baremetrics,49.0,46.0,0.0,26.0,21.0,,,,,,-0.12604344973574746,-0.12410167389549534,-0.1481215054253941,-0.21835642273118946,-0.21062848612985755,0.0,0.0,0.0,0.0,0.0,-0.12968235053757596,-0.142994969620349,0.0,-0.09228109929908819
Zuora,43.0,58.0,4.0,21.0,22.0,,,,,,-0.12943430166417963,-0.11349065246612389,-0.12347525822940594,-0.22540017830316333,-0.21012081747098044,0.0,0.0,0.0,0.0,0.0,-0.12186503329800259,-0.14517366525804792,0.0,-0.09319745081972888
Conekta,20.0,17.0,0.0,9.0,11.0,,,,,,-0.14243256738983626,-0.14974497568314302,-0.1481215054253941,-0.2423051916759006,-0.21570517271862846,0.0,0.0,0.0,0.0,0.0,-0.14649531831427054,-0.15267012146484302,0.0,-0.09892683879461933
Spreedly,19.0,31.0,0.0,6.0,13.0,,,,,,-0.1429977093779083,-0.13736545068220965,-0.1481215054253941,-0.2465314450190849,-0.21468983540087427,0.0,0.0,0.0,0.0,0.0,-0.141769565109126,-0.15374042680665304,0.0,-0.09933273433944813
BitPay,19.0,34.0,0.0,3.0,16.0,,,,,,-0.1429977093779083,-0.1347126953248668,-0.1481215054253941,-0.2507576983622692,-0.213166829424243,0.0,0.0,0.0,0.0,0.0,-0.14070846296618886,-0.1546415092621707,0.0,-0.09982032870561187
MANGOPAY,16.0,30.0,0.0,5.0,11.0,,,,,,-0.14469313534212436,-0.13824970246799062,-0.1481215054253941,-0.24794019613347965,-0.21570517271862846,0.0,0.0,0.0,0.0,0.0,-0.1428014362091248,-0.15454845628403605,0.0,-0.09986914558087787
Invoicera,4.0,8.0,0.0,,,2.0,,,,,-0.15147483919898871,-0.1577032417551716,-0.1481215054253941,0.0,0.0,-0.5091473761172175,0.0,0.0,0.0,0.0,-0.15329553346674296,-0.1697157920390725,0.0,-0.10949425189678065
Blockchain-com,212.0,200.0,0.0,12.0,199.0,9.0,,,,,-0.03392530568000696,0.012073101114771652,-0.1481215054253941,-0.23807893833271626,-0.12026346484973507,-0.18727259811208,0.0,0.0,0.0,0.0,-0.03836518291117295,-0.18187166709817712,0.0,-0.11104125940446492
Quaderno,4.0,16.0,0.0,3.0,,7.0,,,,,-0.15147483919898871,-0.150629227468924,-0.1481215054253941,-0.2507576983622692,0.0,-0.2792368203992621,0.0,0.0,0.0,0.0,-0.1504659277522439,-0.17666483958717713,0.0,-0.11352220013991847
Churn-Buster,5.0,6.0,0.0,3.0,,7.0,,,,,-0.15090969721091668,-0.15947174532673353,-0.1481215054253941,-0.2507576983622692,0.0,-0.2792368203992621,0.0,0.0,0.0,0.0,-0.1537768781001389,-0.17666483958717713,0.0,-0.11368774765731322
Ripple,24.0,27.0,0.0,,23.0,6.0,,,,,-0.14017199943754816,-0.14090245782533348,-0.1481215054253941,0.0,-0.20961314881210336,-0.3252189315428532,0.0,0.0,0.0,0.0,-0.14205408399023148,-0.17827736011831885,0.0,-0.11406912027050288
Amazon-Pay,8.0,17.0,0.0,,7.0,6.0,,,,,-0.14921427124670059,-0.14974497568314302,-0.1481215054253941,0.0,-0.21773584735413684,-0.3252189315428532,0.0,0.0,0.0,0.0,-0.14920799985701627,-0.18098492629899668,0.0,-0.11605135577224882
FastSpring,12.0,19.0,0.0,6.0,6.0,11.0,,,,,-0.14695370329441249,-0.1479764721115811,-0.1481215054253941,-0.2465314450190849,-0.21824351601301392,-0.09530837582489785,0.0,0.0,0.0,0.0,-0.14759637124747627,-0.18669444561899887,0.0,-0.11939648593377312
WePay,6.0,20.0,3.0,,5.0,5.0,,,,,-0.15034455522284465,-0.14709222032580016,-0.129636820028403,0.0,-0.218751184671891,-0.37120104268644427,0.0,0.0,0.0,0.0,-0.14490207422513854,-0.19665074245277844,0.0,-0.12523554918292398
checkout-com,10.0,8.0,0.0,,8.0,5.0,,,,,-0.14808398727055655,-0.1577032417551716,-0.1481215054253941,0.0,-0.21722817869525973,-0.37120104268644427,0.0,0.0,0.0,0.0,-0.1519391926953701,-0.1961430737939013,0.0,-0.1252828039111093
Razorpay,29.0,57.0,1.0,13.0,16.0,9.0,,,,,-0.13734628949718802,-0.11437490425190484,-0.14195994362639705,-0.2366701872183215,-0.213166829424243,-0.18727259811208,0.0,0.0,0.0,0.0,-0.12908046622491656,-0.2123698715848815,0.0,-0.13387594626217472
Paytm,17.0,31.0,0.0,3.0,14.0,9.0,,,,,-0.14412799335405235,-0.13736545068220965,-0.1481215054253941,-0.2507576983622692,-0.2141821667419972,-0.18727259811208,0.0,0.0,0.0,0.0,-0.14222167869958363,-0.2174041544054488,0.0,-0.13755357657824846
Stripe-Billing,112.0,132.0,0.0,33.0,79.0,7.0,,,,,-0.09043950448720972,-0.048056020318333253,-0.1481215054253941,-0.20849516493042608,-0.18118370391498617,-0.2792368203992621,0.0,0.0,0.0,0.0,-0.08502251100729602,-0.22297189641489146,0.0,-0.13803426339929967
RevenueCat,12.0,37.0,10.0,,10.0,3.0,,,,,-0.14695370329441249,-0.13205993996752394,-0.08650588743542373,0.0,-0.21621284137750554,-0.4631652649736264,0.0,0.0,0.0,0.0,-0.12890663479185932,-0.22645936878371065,0.0,-0.14232095300981934
Mollie,27.0,68.0,0.0,10.0,16.0,8.0,,,,,-0.13847657347333206,-0.10464813460831435,-0.1481215054253941,-0.2408964405615058,-0.213166829424243,-0.23325470925567107,0.0,0.0,0.0,0.0,-0.1268741843177374,-0.2291059930804733,0.0,-0.14380730506417083
ChartMogul,41.0,32.0,2.0,23.0,18.0,7.0,,,,,-0.1305645856403237,-0.1364811988964287,-0.13579838182740003,-0.2225826760743738,-0.21215149210648881,-0.2792368203992621,0.0,0.0,0.0,0.0,-0.13397799018018097,-0.23799032952670826,0.0,-0.14949309722503398
Omise,25.0,18.0,0.0,6.0,15.0,7.0,,,,,-0.13960685744947612,-0.14886072389736207,-0.1481215054253941,-0.2465314450190849,-0.21367449808312008,-0.2792368203992621,0.0,0.0,0.0,0.0,-0.1450113336238141,-0.2464809211671557,0.0,-0.15513911938148411
TransferWise,17.0,33.0,6.0,3.0,13.0,7.0,,,,,-0.14412799335405235,-0.13559694711064776,-0.11115213463141188,-0.2507576983622692,-0.21468983540087427,-0.2792368203992621,0.0,0.0,0.0,0.0,-0.13412040311216242,-0.24822811805413517,0.0,-0.1556428909880892
Midtrans,11.0,6.0,0.0,3.0,8.0,7.0,,,,,-0.14751884528248452,-0.15947174532673353,-0.1481215054253941,-0.2507576983622692,-0.21722817869525973,-0.2792368203992621,0.0,0.0,0.0,0.0,-0.15242053732876604,-0.249074232485597,0.0,-0.1570655663577965
Litecoin,15.0,13.0,0.0,4.0,11.0,6.0,,,,,-0.1452582773301964,-0.15328198282626684,-0.1481215054253941,-0.24934894724787443,-0.21570517271862846,-0.3252189315428532,0.0,0.0,0.0,0.0,-0.14904040514766412,-0.2634243505031187,0.0,-0.1655066305592544
Dwolla,10.0,18.0,0.0,5.0,5.0,6.0,,,,,-0.14808398727055655,-0.14886072389736207,-0.1481215054253941,-0.24794019613347965,-0.218751184671891,-0.3252189315428532,0.0,0.0,0.0,0.0,-0.14840218555224627,-0.26397010411607463,0.0,-0.1658021717472571
ProfitWell,21.0,21.0,0.0,11.0,10.0,5.0,,,,,-0.14186742540176422,-0.14620796854001922,-0.1481215054253941,-0.23948768944711105,-0.21621284137750554,-0.37120104268644427,0.0,0.0,0.0,0.0,-0.1448544586617922,-0.27563385783702027,0.0,-0.17262303763530176
Paddle,33.0,42.0,0.0,17.0,16.0,6.0,0.0205,0.853,0.1265,0.4391,-0.1350857215448999,-0.12763868103861917,-0.1481215054253941,-0.23103518276074242,-0.213166829424243,-0.3252189315428532,-0.441988468090707,0.03536711400250309,0.24743642306380073,-0.2711353221182724,-0.13471406211848644,-0.25647364790927957,-0.2711353221182724,-0.2555172545928874
PayWhirl,0.0,7.0,0.0,,,,0.0,0.954,0.046,0.2617,-0.15373540715127681,-0.15858749354095256,-0.1481215054253941,0.0,0.0,0.0,-1.2556175684567614,2.0459772993028444,-1.845190161696826,-0.8451654808071375,-0.15455346136197057,0.0,-0.8451654808071375,-0.3035355913505966
Adyen,121.0,196.0,45.0,43.0,76.0,,0.051,0.8055,0.14300000000000002,0.2712,-0.08535322659456147,0.008536093971647833,0.12914877552947251,-0.19440765378647837,-0.18270670989161744,0.0,0.7685328763563493,-0.9102168840347862,0.6763598845364762,-0.8144254215763358,-0.0048970979432709505,-0.1257047878926986,-0.8144254215763358,-0.3607166251845002
GoCardless,43.0,52.0,0.0,21.0,22.0,,0.043,0.918,0.039,0.1027,-0.12943430166417963,-0.11879616318080961,-0.1481215054253941,-0.22540017830316333,-0.21012081747098044,0.0,0.45101908109154754,1.329324163948269,-2.0271576908064457,-1.3596569984595024,-0.1289164870230745,-0.14517366525804792,-1.3596569984595024,-0.5694299729668083
SagePay,11.0,7.0,0.0,5.0,6.0,16.0,0.102,0.781,0.116,-0.057,-0.14751884528248452,-0.15858749354095256,-0.1481215054253941,-0.24794019613347965,-0.21824351601301392,0.13460217989305753,2.7926833211694597,-1.3979391567066506,-0.025514870600628712,-1.8764135731078215,-0.15206683661445364,-0.110527177417812,-1.8764135731078215,-0.7306643988691474
